cust_response,time,total_amount,gender,age,person_id,became_member_on,income,F,M,O,days_of_membership,age_by_decade,income_range,reward,difficulty,duration
1,0,37.67,F,75,78afa995795e4d85b5d9ceeca43f5fef,2017,100000,1,0,0,1207,70s,110k,5,5,168
1,168,49.39,F,75,78afa995795e4d85b5d9ceeca43f5fef,2017,100000,1,0,0,1207,70s,110k,0,0,72
1,408,48.28,F,75,78afa995795e4d85b5d9ceeca43f5fef,2017,100000,1,0,0,1207,70s,110k,10,10,168
1,504,48.28,F,75,78afa995795e4d85b5d9ceeca43f5fef,2017,100000,1,0,0,1207,70s,110k,5,5,120
0,0,0,M,68,e2127556f4f64592b11af22de27a7932,2018,70000,0,1,0,855,60s,80k,2,10,168
0,336,0,M,68,e2127556f4f64592b11af22de27a7932,2018,70000,0,1,0,855,60s,80k,0,0,96
1,408,18.42,M,68,e2127556f4f64592b11af22de27a7932,2018,70000,0,1,0,855,60s,80k,5,5,168
1,504,18.42,M,68,e2127556f4f64592b11af22de27a7932,2018,70000,0,1,0,855,60s,80k,2,10,240
1,0,9.54,M,65,389bc3fa690240e798340f5a15918d5c,2018,53000,0,1,0,931,60s,60k,5,5,120
0,168,0,M,65,389bc3fa690240e798340f5a15918d5c,2018,53000,0,1,0,931,60s,60k,5,5,168
1,336,15.63,M,65,389bc3fa690240e798340f5a15918d5c,2018,53000,0,1,0,931,60s,60k,2,10,168
0,168,0,M,65,389bc3fa690240e798340f5a15918d5c,2018,53000,0,1,0,931,60s,60k,5,5,168
1,0,9.54,M,65,389bc3fa690240e798340f5a15918d5c,2018,53000,0,1,0,931,60s,60k,5,5,120
1,576,11.26,M,65,389bc3fa690240e798340f5a15918d5c,2018,53000,0,1,0,931,60s,60k,2,10,240
0,0,0,M,58,2eeac8d8feae4a8cad5a6af0499a211d,2017,51000,0,1,0,1021,50s,60k,0,0,96
0,168,2.32,M,58,2eeac8d8feae4a8cad5a6af0499a211d,2017,51000,0,1,0,1021,50s,60k,3,7,168
1,336,13.3,M,58,2eeac8d8feae4a8cad5a6af0499a211d,2017,51000,0,1,0,1021,50s,60k,2,10,240
0,0,12.33,F,61,aa4862eba776480b8bb9c68455b8c2e1,2017,57000,1,0,0,1082,60s,60k,5,20,240
1,168,12.33,F,61,aa4862eba776480b8bb9c68455b8c2e1,2017,57000,1,0,0,1082,60s,60k,10,10,120
0,336,0,F,61,aa4862eba776480b8bb9c68455b8c2e1,2017,57000,1,0,0,1082,60s,60k,0,0,72
1,408,60.66,F,61,aa4862eba776480b8bb9c68455b8c2e1,2017,57000,1,0,0,1082,60s,60k,10,10,168
1,576,12.56,F,61,aa4862eba776480b8bb9c68455b8c2e1,2017,57000,1,0,0,1082,60s,60k,5,5,120
