,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,2,10,240,1,1,1,0,1,0,1,0,0,1064,139.97,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,10,240,1,1,1,0,1,0,1,0,0,1835,117.55,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,5,5,168,1,0,1,1,0,0,1,0,0,1316,59.18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,10,10,168,1,1,0,1,0,0,0,1,0,1057,8.79,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,10,10,120,1,1,1,1,0,0,1,0,0,1663,38.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,5,5,168,1,0,1,1,0,0,0,1,0,790,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,2,10,240,1,1,1,0,1,0,0,1,0,1201,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,10,10,120,1,1,1,1,0,0,0,1,0,1706,45.16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,5,20,240,0,0,1,0,1,0,1,0,0,1368,47.04,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,5,5,120,1,1,1,1,0,0,0,1,0,1111,3.37,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,0,0,96,1,0,1,0,0,1,1,0,0,1778,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,5,168,1,0,1,1,0,0,0,1,0,1066,50.55,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,5,5,120,1,1,1,1,0,0,0,1,0,2379,15.37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13,2,10,240,1,1,1,0,1,0,0,1,0,988,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,10,10,120,1,1,1,1,0,0,1,0,0,1143,38.08,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
15,3,7,168,1,1,1,0,1,0,1,0,0,822,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,2,10,168,1,0,1,0,1,0,0,1,0,2123,2.83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17,5,5,168,1,0,1,1,0,0,1,0,0,1286,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,0,0,72,1,1,0,0,0,1,0,1,0,2007,23.73,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,5,5,168,1,0,1,1,0,0,0,1,0,1047,1.91,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,3,7,168,1,1,1,0,1,0,0,1,0,1869,26.01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
21,5,20,240,0,0,1,0,1,0,0,1,0,1693,0.37,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,3,7,168,1,1,1,0,1,0,0,1,0,854,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23,0,0,96,1,0,1,0,0,1,1,0,0,1216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
24,0,0,96,1,0,1,0,0,1,0,1,0,957,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,10,10,168,1,1,0,1,0,0,1,0,0,957,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,5,5,120,1,1,1,1,0,0,0,1,0,955,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
27,10,10,168,1,1,0,1,0,0,0,1,0,1238,6.06,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,0,0,96,1,0,1,0,0,1,1,0,0,1352,18.14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29,5,20,240,0,0,1,0,1,0,1,0,0,1643,60.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,3,7,168,1,1,1,0,1,0,0,1,0,861,5.66,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,10,10,120,1,1,1,1,0,0,1,0,0,1157,50.21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,10,168,1,0,1,0,1,0,0,1,0,1048,32.42,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,3,7,168,1,1,1,0,1,0,1,0,0,1474,80.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,5,5,168,1,0,1,1,0,0,0,1,0,1346,17.73,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,0,0,96,1,0,1,0,0,1,0,1,0,1709,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,2,10,168,1,0,1,0,1,0,1,0,0,766,3.89,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,5,5,120,1,1,1,1,0,0,0,1,0,1198,52.73,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
38,3,7,168,1,1,1,0,1,0,0,1,0,834,7.86,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,0,0,96,1,0,1,0,0,1,0,1,0,1503,5.38,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,5,5,120,1,1,1,1,0,0,0,1,0,1833,37.98,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41,5,5,168,1,0,1,1,0,0,1,0,0,985,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
42,5,5,120,1,1,1,1,0,0,1,0,0,966,28.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
43,2,10,168,1,0,1,0,1,0,0,1,0,1072,7.89,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
44,0,0,72,1,1,0,0,0,1,0,1,0,860,1.68,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
45,0,0,72,1,1,0,0,0,1,1,0,0,2236,41.03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
46,2,10,240,1,1,1,0,1,0,1,0,0,1049,18.19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
47,5,5,120,1,1,1,1,0,0,0,1,0,775,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
48,3,7,168,1,1,1,0,1,0,0,1,0,1029,1.45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,5,5,168,1,0,1,1,0,0,0,1,0,889,7.91,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,10,10,120,1,1,1,1,0,0,1,0,0,969,21.53,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
51,0,0,96,1,0,1,0,0,1,0,1,0,790,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
52,5,5,168,1,0,1,1,0,0,1,0,0,1521,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
53,5,5,168,1,0,1,1,0,0,0,1,0,1804,44.38,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
54,0,0,96,1,0,1,0,0,1,1,0,0,1779,5.52,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
55,0,0,96,1,0,1,0,0,1,1,0,0,1048,17.66,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
56,0,0,72,1,1,0,0,0,1,0,1,0,1106,2.44,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,5,5,120,1,1,1,1,0,0,0,1,0,2136,22.53,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
58,0,0,96,1,0,1,0,0,1,1,0,0,1590,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
59,2,10,240,1,1,1,0,1,0,0,1,0,1263,89.01,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
60,0,0,96,1,0,1,0,0,1,1,0,0,1793,41.28,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,2,10,168,1,0,1,0,1,0,0,1,0,2336,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,3,7,168,1,1,1,0,1,0,1,0,0,1245,56.19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63,5,5,120,1,1,1,1,0,0,1,0,0,992,26.05,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
64,5,20,240,0,0,1,0,1,0,0,1,0,2208,15.33,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
65,3,7,168,1,1,1,0,1,0,0,1,0,976,2.34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
66,10,10,120,1,1,1,1,0,0,1,0,0,1319,56.31,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
67,10,10,168,1,1,0,1,0,0,0,1,0,1493,21.72,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,5,20,240,0,0,1,0,1,0,0,1,0,1092,24.29,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
69,10,10,168,1,1,0,1,0,0,1,0,0,1584,76.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
